ADT1_YEAST  0.58  0.61  0.47  0.13  0.50  0.00  0.48  0.22  3
ADT2_YEAST  0.43  0.67  0.48  0.27  0.50  0.00  0.53  0.22  3
ADT3_YEAST  0.64  0.62  0.49  0.15  0.50  0.00  0.53  0.22  3
AAR2_YEAST  0.58  0.44  0.57  0.13  0.50  0.00  0.54  0.22  1
AATM_YEAST  0.42  0.44  0.48  0.54  0.50  0.00  0.48  0.22  3
AATC_YEAST  0.51  0.40  0.56  0.17  0.50  0.50  0.49  0.22  0
ABC1_YEAST  0.50  0.54  0.48  0.65  0.50  0.00  0.53  0.22  3
BAF1_YEAST  0.48  0.45  0.59  0.20  0.50  0.00  0.58  0.34  1
ABF2_YEAST  0.55  0.50  0.66  0.36  0.50  0.00  0.49  0.22  3
ABP1_YEAST  0.40  0.39  0.60  0.15  0.50  0.00  0.58  0.30  0
ACE1_YEAST  0.43  0.39  0.54  0.21  0.50  0.00  0.53  0.27  1
ACE2_YEAST  0.42  0.37  0.59  0.20  0.50  0.00  0.52  0.29  1
ACH1_YEAST  0.40  0.42  0.57  0.35  0.50  0.00  0.53  0.25  0
ACON_YEAST  0.60  0.40  0.52  0.46  0.50  0.00  0.53  0.22  3
ACR1_YEAST  0.66  0.55  0.45  0.19  0.50  0.00  0.46  0.22  3
ACT_YEAST   0.46  0.44  0.52  0.11  0.50  0.00  0.50  0.22  0
ACT2_YEAST  0.47  0.39  0.50  0.11  0.50  0.00  0.49  0.40  0
ACT3_YEAST  0.58  0.47  0.54  0.11  0.50  0.00  0.51  0.26  1
ACT5_YEAST  0.50  0.34  0.55  0.21  0.50  0.00  0.49  0.22  1
ADA2_YEAST  0.61  0.60  0.55  0.21  0.50  0.00  0.50  0.25  1
C1TC_YEAST  0.45  0.40  0.50  0.16  0.50  0.00  0.50  0.22  0
PUR4_YEAST  0.43  0.44  0.48  0.22  0.50  0.00  0.51  0.22  0
PUR3_YEAST  0.73  0.63  0.42  0.30  0.50  0.00  0.49  0.22  0
ADH1_YEAST  0.43  0.53  0.52  0.13  0.50  0.00  0.55  0.22  0
ADH2_YEAST  0.46  0.53  0.52  0.15  0.50  0.00  0.58  0.22  0
ADH3_YEAST  0.51  0.51  0.52  0.51  0.50  0.00  0.54  0.22  3
ADH4_YEAST  0.59  0.45  0.53  0.19  0.50  0.00  0.59  0.27  0
KAD1_YEAST  0.57  0.47  0.60  0.18  0.50  0.00  0.51  0.22  0
KAD2_YEAST  0.63  0.67  0.57  0.24  0.50  0.00  0.49  0.22  3
ADP1_YEAST  0.80  0.88  0.36  0.39  0.50  0.00  0.56  0.33  6
ADR1_YEAST  0.53  0.54  0.43  0.10  0.50  0.00  0.57  0.32  1
AFG3_YEAST  0.51  0.51  0.43  0.87  0.50  0.00  0.52  0.22  3
AFR1_YEAST  0.38  0.61  0.61  0.12  0.50  0.00  0.53  0.47  0
RCS1_YEAST  0.33  0.55  0.51  0.43  0.50  0.00  0.51  0.22  1
AGA1_YEAST  0.78  0.74  0.42  0.26  0.50  0.00  0.43  0.22  6
AGA2_YEAST  0.74  0.67  0.47  0.34  0.50  0.00  0.42  0.22  7
YMX1_YEAST  0.72  0.61  0.45  0.30  0.50  0.00  0.54  0.25  3
SYAC_YEAST  0.40  0.45  0.57  0.18  0.50  0.00  0.56  0.26  0
DHA1_YEAST  0.59  0.53  0.43  0.44  0.50  0.00  0.50  0.22  3
DHA2_YEAST  0.57  0.53  0.53  0.34  0.50  0.00  0.53  0.22  3
ALG1_YEAST  0.86  0.68  0.39  0.24  0.50  0.00  0.54  0.22  5
ALG5_YEAST  0.86  0.74  0.51  0.40  0.50  0.00  0.55  0.22  5
GPT_YEAST   0.79  0.57  0.41  0.28  0.50  0.00  0.59  0.22  5
ALG8_YEAST  0.41  0.54  0.39  0.20  0.50  0.00  0.51  0.22  4
MAN1_YEAST  0.37  0.36  0.56  0.18  0.50  0.00  0.48  0.26  9
ANC1_YEAST  0.53  0.31  0.58  0.39  0.50  0.00  0.47  0.37  1
ANP1_YEAST  0.74  0.75  0.58  0.47  0.50  0.00  0.40  0.35  5
APE2_YEAST  0.49  0.39  0.52  0.29  0.50  0.00  0.48  0.22  7
APE3_YEAST  0.74  0.57  0.51  0.28  0.50  0.00  0.58  0.22  9
ALP1_YEAST  0.42  0.24  0.34  0.16  0.50  0.00  0.50  0.22  4
ADB2_YEAST  0.48  0.39  0.51  0.21  0.50  0.00  0.52  0.28  0
YHB9_YEAST  0.41  0.53  0.45  0.14  0.50  0.00  0.52  0.66  4
APN1_YEAST  0.45  0.46  0.55  0.43  0.50  0.00  0.55  0.38  1
ARD1_YEAST  0.56  0.48  0.58  0.27  0.50  0.00  0.51  0.22  0
ARF1_YEAST  0.64  0.59  0.56  0.23  0.50  0.00  0.46  0.22  0
ARF2_YEAST  0.64  0.56  0.56  0.22  0.50  0.00  0.45  0.22  0
ASSY_YEAST  0.66  0.62  0.49  0.10  0.50  0.00  0.49  0.22  0
OTC_YEAST   0.53  0.44  0.51  0.33  0.50  0.00  0.55  0.22  0
ARLY_YEAST  0.38  0.49  0.53  0.19  0.50  0.00  0.50  0.22  0
AR56_YEAST  0.45  0.58  0.48  0.67  0.50  0.00  0.52  0.22  3
ARGD_YEAST  0.43  0.35  0.52  0.52  0.50  0.00  0.54  0.22  3
ARG1_YEAST  0.37  0.32  0.47  0.18  0.50  0.00  0.45  0.25  1
ARG2_YEAST  0.48  0.43  0.51  0.32  0.50  0.00  0.52  0.43  1
ARG3_YEAST  0.41  0.46  0.59  0.19  0.50  0.00  0.58  0.27  1
ARO1_YEAST  0.54  0.48  0.44  0.08  0.50  0.00  0.52  0.27  0
AROC_YEAST  0.60  0.47  0.45  0.22  0.50  0.00  0.51  0.29  0
AROF_YEAST  0.34  0.46  0.57  0.09  0.50  0.00  0.55  0.22  0
AROG_YEAST  0.48  0.54  0.55  0.12  0.50  0.00  0.51  0.22  0
CHMU_YEAST  0.47  0.39  0.59  0.15  0.50  0.00  0.57  0.22  0
ASG2_YEAST  0.81  0.85  0.47  0.37  0.50  0.00  0.56  0.22  7
AST1_YEAST  0.48  0.42  0.52  0.24  0.50  0.00  0.56  0.22  0
ATE1_YEAST  0.58  0.51  0.49  0.27  0.50  0.00  0.57  0.29  0
ATM1_YEAST  0.60  0.50  0.44  0.61  0.50  0.00  0.47  0.22  3
ATPA_YEAST  0.45  0.55  0.54  0.66  0.50  0.00  0.47  0.22  3
ATPY_YEAST  0.46  0.49  0.58  0.23  0.50  0.00  0.44  0.22  3
ATPS_YEAST  0.49  0.42  0.56  0.55  0.50  0.00  0.42  0.25  3
ATPT_YEAST  0.63  0.53  0.54  0.40  0.50  0.00  0.50  0.22  3
ATPU_YEAST  0.50  0.54  0.53  0.54  0.50  0.00  0.51  0.27  3
ATPE_YEAST  0.63  0.57  0.59  0.40  0.50  0.00  0.38  0.22  3
ATPB_YEAST  0.43  0.57  0.51  0.49  0.50  0.00  0.48  0.22  3
ATPG_YEAST  0.48  0.45  0.55  0.50  0.50  0.00  0.53  0.22  3
ATPD_YEAST  0.50  0.58  0.46  0.46  0.50  0.00  0.46  0.22  3
ATPO_YEAST  0.51  0.54  0.60  0.57  0.50  0.00  0.58  0.22  3
ATP7_YEAST  0.54  0.52  0.63  0.37  0.50  0.00  0.46  0.22  3
ATP8_YEAST  0.67  0.62  0.40  0.43  0.50  0.83  0.50  0.22  3
ATR1_YEAST  0.28  0.58  0.21  0.13  0.50  0.00  0.51  0.22  4
YBR8_YEAST  0.39  0.44  0.35  0.16  0.50  0.00  0.55  0.22  4
BAR1_YEAST  0.80  0.63  0.45  0.29  0.50  0.00  0.51  0.22  7
BAS1_YEAST  0.50  0.52  0.59  0.30  0.50  0.00  0.51  0.35  1
BCK1_YEAST  0.42  0.47  0.52  0.41  0.50  0.00  0.53  0.32  0
BCK2_YEAST  0.36  0.46  0.62  0.46  0.50  0.00  0.51  0.33  0
BCS1_YEAST  0.46  0.38  0.47  0.22  0.50  0.00  0.52  0.27  3
KAPR_YEAST  0.40  0.45  0.56  0.20  0.50  0.00  0.45  0.22  0
BDF1_YEAST  0.33  0.43  0.64  0.16  0.50  0.00  0.52  0.52  1
BEM1_YEAST  0.49  0.61  0.49  0.25  0.50  0.00  0.50  0.28  0
BET1_YEAST  0.38  0.50  0.37  0.26  0.50  0.00  0.43  0.22  4
BGL2_YEAST  0.69  0.70  0.52  0.36  0.50  0.00  0.46  0.22  7
CYBM_YEAST  0.61  0.72  0.39  0.33  0.50  0.00  0.58  0.22  3
YMC4_YEAST  0.78  0.75  0.40  0.28  0.50  0.00  0.53  0.22  3
BIK1_YEAST  0.64  0.57  0.57  0.27  0.50  0.00  0.37  0.22  0
BOS1_YEAST  0.36  0.58  0.35  0.24  0.50  0.00  0.44  0.22  4
BSD2_YEAST  0.36  0.43  0.39  0.12  0.50  0.00  0.49  0.22  4
BUD5_YEAST  0.47  0.52  0.50  0.40  0.50  0.00  0.41  0.22  0
CAD1_YEAST  0.48  0.23  0.57  0.27  0.50  0.00  0.48  0.47  1
CAP2_YEAST  0.47  0.39  0.55  0.24  0.50  0.00  0.47  0.22  0
CAN1_YEAST  0.44  0.59  0.36  0.16  0.50  0.00  0.52  0.22  4
CAPA_YEAST  0.42  0.35  0.54  0.18  0.50  0.00  0.56  0.22  0
CAPB_YEAST  0.30  0.56  0.55  0.18  0.50  0.00  0.50  0.22  0
ARGI_YEAST  0.65  0.65  0.52  0.16  0.50  0.00  0.60  0.22  0
OAT_YEAST   0.27  0.60  0.48  0.23  0.50  0.00  0.55  0.22  0
CACP_YEAST  0.45  0.41  0.50  0.46  0.50  0.50  0.50  0.27  8
CAT8_YEAST  0.44  0.52  0.41  0.23  0.50  0.00  0.51  0.22  1
CBF1_YEAST  0.30  0.32  0.57  0.19  0.50  0.00  0.48  0.55  1
CB32_YEAST  0.40  0.44  0.49  0.47  0.50  0.00  0.49  0.27  1
CBF5_YEAST  0.45  0.51  0.50  0.16  0.50  0.00  0.52  1.00  1
CBP1_YEAST  0.45  0.45  0.50  0.60  0.50  0.00  0.49  0.22  3
CBP2_YEAST  0.59  0.67  0.56  0.41  0.50  0.00  0.47  0.22  3
CBP3_YEAST  0.47  0.47  0.57  0.48  0.50  0.00  0.48  0.22  3
CBP4_YEAST  0.35  0.52  0.48  0.22  0.50  0.00  0.26  0.22  3
CBP6_YEAST  0.47  0.41  0.66  0.26  0.50  0.00  0.53  0.22  3
NC5R_YEAST  0.64  0.62  0.29  0.28  0.50  0.00  0.51  0.22  3
CBS1_YEAST  0.55  0.53  0.55  0.46  0.50  0.00  0.52  0.22  3
CBS2_YEAST  0.67  0.62  0.54  0.43  0.50  0.00  0.53  0.22  3
TNT_YEAST   0.59  0.60  0.49  0.43  0.50  0.00  0.53  0.31  3
ATU1_YEAST  0.54  0.55  0.34  0.31  0.50  0.00  0.54  0.22  4
CCE1_YEAST  0.58  0.62  0.54  0.17  0.50  0.00  0.48  0.22  3
CCL1_YEAST  0.40  0.38  0.53  0.16  0.50  0.00  0.52  0.27  1
CCPR_YEAST  0.46  0.71  0.48  0.53  0.50  0.00  0.53  0.22  3
CCR4_YEAST  0.53  0.51  0.55  0.05  0.50  0.00  0.45  0.25  1
CTPT_YEAST  0.41  0.40  0.59  0.47  0.50  0.00  0.48  0.43  0
CC10_YEAST  0.50  0.64  0.57  0.15  0.50  0.00  0.47  0.22  0
CC11_YEAST  0.40  0.62  0.52  0.31  0.50  0.00  0.49  0.31  0
CC12_YEAST  0.60  0.50  0.57  0.25  0.50  0.00  0.41  0.26  0
CC16_YEAST  0.62  0.51  0.52  0.42  0.50  0.00  0.54  0.27  1
CC23_YEAST  0.35  0.58  0.54  0.16  0.50  0.00  0.51  0.22  1
CC24_YEAST  0.34  0.54  0.50  0.21  0.50  0.00  0.54  0.31  0
CC25_YEAST  0.39  0.58  0.50  0.26  0.50  0.00  0.54  0.59  4
CC27_YEAST  0.48  0.54  0.50  0.17  0.50  0.00  0.53  0.22  1
CDC3_YEAST  0.29  0.32  0.58  0.15  0.50  0.00  0.50  0.30  0
CC31_YEAST  0.47  0.32  0.64  0.30  0.50  0.00  0.63  0.22  1
IF4E_YEAST  0.39  0.47  0.56  0.16  0.50  0.00  0.47  0.22  0
UBC3_YEAST  0.58  0.48  0.51  0.47  0.50  0.00  0.55  0.22  1
NOT2_YEAST  0.64  0.60  0.57  0.19  0.50  0.00  0.43  0.22  1
NOT1_YEAST  0.37  0.46  0.40  0.27  0.50  0.00  0.45  0.22  1
CC4_YEAST   0.43  0.57  0.53  0.16  0.50  0.00  0.54  0.22  0
CC40_YEAST  0.28  0.37  0.61  0.09  0.50  0.00  0.52  0.55  1
CC42_YEAST  0.59  0.48  0.50  0.14  0.50  0.00  0.45  0.25  0
CAL1_YEAST  0.39  0.55  0.48  0.31  0.50  0.00  0.54  0.29  0
RFC1_YEAST  0.26  0.36  0.47  0.34  0.50  0.00  0.53  0.72  1
CC46_YEAST  0.51  0.34  0.50  0.19  0.50  0.00  0.50  0.22  1
YB52_YEAST  0.58  0.50  0.50  0.12  0.50  0.00  0.48  0.25  1
CC48_YEAST  0.44  0.39  0.53  0.14  0.50  0.00  0.54  0.44  0
CC6_YEAST   0.41  0.39  0.44  0.34  0.50  0.00  0.48  0.40  1
SYLC_YEAST  0.45  0.43  0.51  0.24  0.50  0.00  0.54  0.33  0
CC68_YEAST  0.36  0.68  0.46  0.16  0.50  0.00  0.53  0.28  1
CC7_YEAST   0.42  0.31  0.50  0.15  0.50  0.00  0.53  0.22  1
KTHY_YEAST  0.42  0.43  0.56  0.10  0.50  0.00  0.49  0.22  0
DNLI_YEAST  0.67  0.71  0.52  0.65  0.50  0.00  0.53  0.36  1
MCE1_YEAST  0.49  0.47  0.53  0.16  0.50  0.00  0.48  0.27  1
CEM1_YEAST  0.71  0.59  0.48  0.43  0.50  0.00  0.59  0.22  3
RLUB_YEAST  0.40  0.42  0.71  0.21  0.50  0.00  0.54  0.32  0
RLUB_YEAST  0.40  0.42  0.71  0.21  0.50  0.00  0.54  0.32  0
CLH_YEAST   0.54  0.49  0.49  0.20  0.50  0.00  0.52  0.22  0
CHL1_YEAST  0.42  0.51  0.50  0.12  0.50  0.00  0.52  0.46  1
CHL4_YEAST  0.57  0.51  0.53  0.18  0.50  0.00  0.56  0.25  1
PSS_YEAST   0.35  0.45  0.43  0.11  0.50  0.00  0.56  0.22  4
PEM1_YEAST  0.42  0.42  0.42  0.20  0.50  0.00  0.49  0.22  4
CHS1_YEAST  0.26  0.50  0.33  0.28  0.50  0.00  0.51  0.22  4
CHS2_YEAST  0.39  0.42  0.38  0.40  0.50  0.00  0.49  0.47  4
CHS3_YEAST  0.26  0.44  0.30  0.11  0.50  0.00  0.51  0.47  4
CIK1_YEAST  0.31  0.44  0.53  0.23  0.50  0.00  0.51  0.32  1
CIN1_YEAST  0.48  0.61  0.44  0.20  0.50  0.00  0.47  0.22  0
CIN4_YEAST  0.66  0.45  0.50  0.23  0.50  0.00  0.49  0.22  0
CIN8_YEAST  0.21  0.41  0.55  0.11  0.50  0.00  0.50  0.27  0
